GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BattleshipGame,battleship,GameHistory,3,132,0,2,2,40,0,4,0,3
BattleshipGame,battleship,Ship,45,414,10,58,2,89,11,45,1,19
BattleshipGame,battleship,Main,3,9,0,0,1,4,1,1,1,1
BattleshipGame,battleship,MoveSummary,0,30,0,0,0,3,0,1,0,1
BattleshipGame,battleship,ShotSummary,0,9,0,0,0,1,0,1,0,1
BattleshipGame,battleship,Position,0,342,0,24,0,44,0,29,0,17
BattleshipGame,battleship,Game,108,1097,18,110,15,242,21,73,6,24
BattleshipGame,battleship,GameSummary,0,48,0,0,0,4,0,1,0,1
BattleshipGame,battleship,IMove,37,0,2,0,7,0,2,0,1,0
BattleshipGame,battleship,Barge,0,18,0,0,0,3,0,1,0,1
BattleshipGame,battleship,IFleet,0,4,0,0,0,1,0,1,0,1
BattleshipGame,battleship,Messages,0,37,0,2,0,9,0,6,0,5
BattleshipGame,battleship,Caravel,0,103,1,12,0,14,1,8,0,1
BattleshipGame,battleship,Frigate,0,103,1,12,0,14,1,8,0,1
BattleshipGame,battleship,Carrack,0,103,1,12,0,14,1,8,0,1
BattleshipGame,battleship,Compass,0,77,0,5,0,24,0,10,0,6
BattleshipGame,battleship,Galleon,0,221,1,14,0,30,1,13,0,5
BattleshipGame,battleship,PdfExporter,7,208,1,7,2,52,1,8,0,5
BattleshipGame,battleship,Tasks,45,351,7,49,16,99,5,36,0,9
BattleshipGame,battleship,Fleet,65,272,15,41,11,51,16,28,4,12
BattleshipGame,battleship,IGame.ShotResult,0,15,0,0,0,1,0,1,0,1
BattleshipGame,battleship,Move,15,482,5,65,2,89,5,36,0,6
BattleshipGame,battleship,AppLanguage,0,66,0,8,0,17,0,9,0,5
BattleshipGame,battleship,LanguageSupport,4,54,3,9,1,11,3,6,0,3
