GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BattleshipGame,battleship,GameHistory,9,126,0,2,6,36,0,4,0,3
BattleshipGame,battleship,Ship,157,302,27,41,27,64,22,34,3,17
BattleshipGame,battleship,MoveSummary,0,30,0,0,0,3,0,1,0,1
BattleshipGame,battleship,Main,3,9,0,0,1,4,1,1,1,1
BattleshipGame,battleship,ShotSummary,0,9,0,0,0,1,0,1,0,1
BattleshipGame,battleship,Position,197,145,5,19,19,25,7,22,4,13
BattleshipGame,battleship,GameSummary,0,48,0,0,0,4,0,1,0,1
BattleshipGame,battleship,Game,666,539,93,35,127,130,66,28,11,19
BattleshipGame,battleship,IMove,37,0,2,0,7,0,2,0,1,0
BattleshipGame,battleship,Barge,0,18,0,0,0,3,0,1,0,1
BattleshipGame,battleship,Messages,14,23,1,1,2,7,2,4,1,4
BattleshipGame,battleship,IFleet,0,4,0,0,0,1,0,1,0,1
BattleshipGame,battleship,Frigate,23,80,4,9,3,11,3,6,0,1
BattleshipGame,battleship,Caravel,0,103,1,12,0,14,1,8,0,1
BattleshipGame,battleship,Carrack,0,103,1,12,0,14,1,8,0,1
BattleshipGame,battleship,Compass,13,64,0,5,3,21,1,9,1,5
BattleshipGame,battleship,Galleon,0,221,1,14,0,30,1,13,0,5
BattleshipGame,battleship,PdfExporter,7,208,1,7,2,52,1,8,0,5
BattleshipGame,battleship,Tasks,320,76,55,1,90,25,37,4,5,4
BattleshipGame,battleship,Fleet,143,194,22,34,21,41,21,23,5,11
BattleshipGame,battleship,Move,15,482,5,65,2,89,5,36,0,6
BattleshipGame,battleship,IGame.ShotResult,0,15,0,0,0,1,0,1,0,1
BattleshipGame,battleship,AppLanguage,12,54,4,4,4,13,4,5,1,4
BattleshipGame,battleship,LanguageSupport,4,54,3,9,1,11,3,6,0,3
