GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BattleshipGame,battleship,GameHistory,9,126,0,2,6,36,0,4,0,3
BattleshipGame,battleship,Ship,112,347,21,47,19,72,19,37,2,18
BattleshipGame,battleship,Main,3,9,0,0,1,4,1,1,1,1
BattleshipGame,battleship,MoveSummary,0,30,0,0,0,3,0,1,0,1
BattleshipGame,battleship,ShotSummary,0,9,0,0,0,1,0,1,0,1
BattleshipGame,battleship,Position,16,326,1,23,3,41,2,27,1,16
BattleshipGame,battleship,Game,116,1089,18,110,17,240,22,72,7,23
BattleshipGame,battleship,GameSummary,0,48,0,0,0,4,0,1,0,1
BattleshipGame,battleship,IMove,37,0,2,0,7,0,2,0,1,0
BattleshipGame,battleship,Barge,0,18,0,0,0,3,0,1,0,1
BattleshipGame,battleship,IFleet,0,4,0,0,0,1,0,1,0,1
BattleshipGame,battleship,Messages,0,37,0,2,0,9,0,6,0,5
BattleshipGame,battleship,Caravel,0,103,1,12,0,14,1,8,0,1
BattleshipGame,battleship,Frigate,23,80,4,9,3,11,3,6,0,1
BattleshipGame,battleship,Carrack,0,103,1,12,0,14,1,8,0,1
BattleshipGame,battleship,Compass,13,64,0,5,3,21,1,9,1,5
BattleshipGame,battleship,Galleon,0,221,1,14,0,30,1,13,0,5
BattleshipGame,battleship,PdfExporter,7,208,1,7,2,52,1,8,0,5
BattleshipGame,battleship,Tasks,283,113,51,5,80,35,36,5,4,5
BattleshipGame,battleship,Fleet,143,194,22,34,21,41,21,23,5,11
BattleshipGame,battleship,IGame.ShotResult,0,15,0,0,0,1,0,1,0,1
BattleshipGame,battleship,Move,15,482,5,65,2,89,5,36,0,6
BattleshipGame,battleship,AppLanguage,0,66,0,8,0,17,0,9,0,5
BattleshipGame,battleship,LanguageSupport,4,54,3,9,1,11,3,6,0,3
